customer_id,calls_made,sms_sent,data_used,churn
15169,75,21,4532,1
149207,35,38,723,1
148119,70,47,4688,1
187288,95,32,10241,1
14016,66,23,5246,1
226400,65,18,5961,1
231590,16,17,5732,1
194307,45,-2,531,1
48459,-4,51,8292,1
156011,22,36,6726,1
71275,35,17,1298,1
76147,88,4,10311,1
135752,80,4,46,1
121118,26,16,4562,1
45892,49,39,3410,1
152023,12,16,10052,1
144742,90,18,2191,1
40454,76,51,1181,1
68000,51,42,1734,1
122677,42,39,3376,1
31492,35,19,8317,1
90014,30,16,6680,1
146704,2,1,2758,1
143947,28,2,9723,1
205899,30,14,8770,1
239,88,25,9296,1
72439,33,38,3933,1
200377,30,40,3093,1
36842,44,12,6454,1
218320,49,41,8049,1
142390,63,7,5742,1
57826,93,16,8380,1
213444,83,43,8137,1
214659,61,12,2595,1
61979,52,18,994,1
31096,92,45,2437,1
167284,80,14,6809,1
109172,45,16,3650,1
199081,16,42,1834,1
48448,90,25,8634,1
98902,82,0,8189,1
46909,63,34,4492,1
132681,50,15,1234,1
105152,6,25,10030,1
72339,25,38,8655,1
30173,96,11,3893,1
225484,42,26,7318,1
240996,21,0,299,1
215598,20,39,7536,1
143829,15,42,3576,1
134178,15,34,6023,1
60734,0,34,9201,1
76002,56,23,8752,1
25467,67,22,2911,1
239336,62,35,9815,1
162579,83,19,8797,1
81028,100,21,3944,1
127787,67,7,1033,1
71451,33,13,7907,1
71794,52,21,8247,1
116234,55,1,4895,1
122756,75,8,4531,1
174410,69,4,3500,1
72732,56,39,6766,1
87265,67,13,3051,1
60724,86,39,3726,1
202063,32,14,3662,1
173173,24,9,337,1
190188,34,33,6643,1
102695,5,45,6509,1
87018,38,5,10194,1
157203,27,42,6896,1
184488,89,17,1823,1
105652,64,-3,8573,1
202714,44,38,7922,1
152214,40,20,6339,1
215394,14,24,5996,1
187347,90,15,5803,1
168411,32,36,8545,1
94636,28,19,4527,1
56914,79,35,7573,1
83099,29,31,4038,1
220424,92,33,3690,1
228871,83,19,8708,1
134034,59,32,8130,1
224340,63,7,8105,1
129504,78,7,10181,1
183114,50,45,5493,1
140284,17,39,6674,1
19546,69,37,4813,1
130130,19,-1,6091,1
216392,49,7,7060,1
207074,51,22,6813,1
236949,46,13,3692,1
237614,95,39,2968,1
72997,4,21,9076,1
87879,89,34,2252,1
132627,15,28,5870,1
188513,101,24,5378,1
113970,89,35,5987,1
164373,45,26,8479,1
2079,42,48,1474,1
54279,60,0,2086,1
240337,9,45,9683,1
152186,90,12,7636,1
212138,18,-2,8355,1
45376,42,28,9020,1
74004,73,25,8095,1
129710,76,9,6029,1
74325,42,19,8138,1
219084,57,43,4486,1
33493,64,32,8771,1
34421,14,41,1975,1
3103,62,26,4111,1
238385,68,5,8947,1
157049,105,9,4876,1
2637,87,11,4126,1
160730,4,39,4122,1
151664,100,51,2506,1
18490,65,30,3237,1
78243,50,42,8972,1
97115,34,42,1324,1
229932,89,1,480,1
11084,64,31,2896,1
11502,61,42,7791,1
94047,39,19,6725,1
160832,102,21,7549,1
209800,7,50,4785,1
39669,28,20,8310,1
74040,-1,7,4227,1
121501,29,41,10310,1
127296,61,11,6364,1
203862,78,45,4700,1
53881,47,43,7926,1
137141,69,9,6323,1
63528,87,42,2093,1
101224,51,11,7217,1
5618,85,38,1726,1
157910,73,31,-456,1
112432,-3,15,7533,1
148730,42,31,4719,1
68854,72,4,4757,1
92701,83,38,8420,1
69360,76,-1,7886,1
97248,83,51,1927,1
78826,72,30,-343,1
33563,74,3,4252,1
45341,9,4,3011,1
188470,6,20,9265,1
147074,28,-2,2558,1
27421,61,14,-299,1
222443,93,29,7757,1
162771,10,5,1155,1
63303,45,30,8966,1
105740,51,45,9460,1
9104,13,24,5803,1
210666,49,7,8888,1
105804,22,40,3655,1
204829,62,47,2974,1
127207,28,39,9378,1
184158,29,25,3897,1
200343,20,29,4306,1
159066,60,42,5911,1
53208,35,16,2224,1
190861,34,29,2334,1
54756,83,4,2496,1
231601,36,8,2309,1
243352,91,26,3668,1
220098,24,15,5792,1
114845,51,38,4117,1
19446,45,34,4406,1
41482,42,8,7442,1
142769,14,12,718,1
54689,83,26,6930,1
88826,38,27,1393,1
225867,13,27,6965,1
145395,10,16,2321,1
191,-3,-1,3838,1
230286,60,30,5187,1
224751,63,6,1754,1
38410,62,48,3942,1
221659,83,22,5301,1
23378,72,9,7118,1
229092,77,49,8338,1
16614,51,33,3406,1
120436,95,20,4443,1
26594,53,42,-109,1
58761,59,37,9488,1
164707,57,39,8959,1
112027,40,32,-223,1
27426,69,40,3763,1
129655,92,47,944,1
56778,22,40,5752,1
119828,90,31,-219,1
12273,9,39,5944,1
221903,91,24,3466,1
8298,87,33,3562,1
99496,87,30,1375,1
224725,13,8,3480,1
241609,91,32,6332,1
90083,20,6,3228,1
30389,56,24,2786,1
90937,18,1,7367,1
126193,15,0,6905,1
67425,7,16,9984,1
191886,83,31,3631,1
173192,3,35,1475,1
5167,37,18,5185,1
